frame,people,box_width,box_height,aspect_ratio_h_over_w
fall-01-cam0-rgb-067.png,1,96,277,2.89
fall-01-cam0-rgb-068.png,1,97,278,2.86
fall-01-cam0-rgb-069.png,1,99,279,2.81
fall-01-cam0-rgb-070.png,1,100,281,2.81
fall-01-cam0-rgb-071.png,1,99,281,2.83
fall-01-cam0-rgb-072.png,1,99,281,2.85
fall-01-cam0-rgb-073.png,1,100,281,2.83
fall-01-cam0-rgb-074.png,1,99,281,2.84
fall-01-cam0-rgb-075.png,1,99,282,2.84
fall-01-cam0-rgb-076.png,1,98,282,2.88
fall-01-cam0-rgb-077.png,1,100,282,2.83
fall-01-cam0-rgb-078.png,1,104,282,2.72
fall-01-cam0-rgb-079.png,1,107,283,2.64
fall-01-cam0-rgb-080.png,1,110,284,2.59
fall-01-cam0-rgb-081.png,1,113,285,2.53
fall-01-cam0-rgb-082.png,1,113,287,2.53
fall-01-cam0-rgb-083.png,1,116,289,2.5
fall-01-cam0-rgb-084.png,1,121,289,2.4
fall-01-cam0-rgb-085.png,1,125,289,2.31
fall-01-cam0-rgb-086.png,1,127,287,2.26
fall-01-cam0-rgb-087.png,1,133,288,2.17
fall-01-cam0-rgb-088.png,1,139,284,2.04
fall-01-cam0-rgb-089.png,1,142,284,2.0
fall-01-cam0-rgb-090.png,1,144,286,1.99
fall-01-cam0-rgb-091.png,1,143,288,2.01
fall-01-cam0-rgb-092.png,1,141,289,2.05
fall-01-cam0-rgb-093.png,1,144,292,2.03
fall-01-cam0-rgb-094.png,1,134,288,2.14
fall-01-cam0-rgb-095.png,1,141,281,2.0
fall-01-cam0-rgb-096.png,1,137,273,1.98
fall-01-cam0-rgb-097.png,1,129,263,2.03
fall-01-cam0-rgb-098.png,1,133,253,1.91
fall-01-cam0-rgb-099.png,1,138,239,1.73
fall-01-cam0-rgb-100.png,1,146,243,1.67
fall-01-cam0-rgb-101.png,1,151,247,1.64
fall-01-cam0-rgb-102.png,1,157,250,1.59
fall-01-cam0-rgb-103.png,1,164,257,1.57
fall-01-cam0-rgb-104.png,1,173,256,1.48
fall-01-cam0-rgb-105.png,1,180,240,1.33
fall-01-cam0-rgb-106.png,1,189,229,1.21
fall-01-cam0-rgb-107.png,1,206,214,1.04
fall-01-cam0-rgb-108.png,1,207,207,1.0
fall-01-cam0-rgb-109.png,1,184,174,0.95
fall-01-cam0-rgb-110.png,1,184,167,0.91
fall-01-cam0-rgb-111.png,1,233,158,0.68
fall-01-cam0-rgb-112.png,0,,,
fall-01-cam0-rgb-113.png,0,,,
fall-01-cam0-rgb-114.png,0,,,
fall-01-cam0-rgb-115.png,0,,,
fall-01-cam0-rgb-116.png,0,,,
fall-01-cam0-rgb-117.png,0,,,
fall-01-cam0-rgb-118.png,0,,,
fall-01-cam0-rgb-119.png,0,,,
fall-01-cam0-rgb-120.png,0,,,
fall-01-cam0-rgb-121.png,0,,,
fall-01-cam0-rgb-122.png,1,212,199,0.94
fall-01-cam0-rgb-123.png,0,,,
fall-01-cam0-rgb-124.png,0,,,
fall-01-cam0-rgb-125.png,1,234,159,0.68
fall-01-cam0-rgb-126.png,1,235,133,0.57
fall-01-cam0-rgb-127.png,1,234,124,0.53
fall-01-cam0-rgb-128.png,1,227,115,0.51
fall-01-cam0-rgb-129.png,1,215,109,0.51
fall-01-cam0-rgb-130.png,1,209,106,0.51
fall-01-cam0-rgb-131.png,1,192,107,0.56
fall-01-cam0-rgb-132.png,1,190,108,0.57
fall-01-cam0-rgb-133.png,0,,,
fall-01-cam0-rgb-134.png,0,,,
fall-01-cam0-rgb-135.png,0,,,
fall-01-cam0-rgb-136.png,0,,,
fall-01-cam0-rgb-137.png,0,,,
fall-01-cam0-rgb-138.png,0,,,
fall-01-cam0-rgb-139.png,0,,,
fall-01-cam0-rgb-140.png,0,,,
fall-01-cam0-rgb-141.png,0,,,
fall-01-cam0-rgb-142.png,0,,,
fall-01-cam0-rgb-143.png,0,,,
fall-01-cam0-rgb-144.png,0,,,
fall-01-cam0-rgb-145.png,0,,,
fall-01-cam0-rgb-146.png,0,,,
fall-01-cam0-rgb-147.png,1,173,105,0.61
fall-01-cam0-rgb-148.png,0,,,
fall-01-cam0-rgb-149.png,0,,,
fall-01-cam0-rgb-150.png,1,176,105,0.6
fall-01-cam0-rgb-151.png,1,175,105,0.6
fall-01-cam0-rgb-152.png,1,175,105,0.6
fall-01-cam0-rgb-153.png,1,175,105,0.6
fall-01-cam0-rgb-154.png,1,175,105,0.6
fall-01-cam0-rgb-155.png,1,174,104,0.6
fall-01-cam0-rgb-156.png,1,174,104,0.6
fall-01-cam0-rgb-157.png,1,174,104,0.6
fall-01-cam0-rgb-158.png,1,174,104,0.6
fall-01-cam0-rgb-159.png,1,175,105,0.6
fall-01-cam0-rgb-160.png,1,174,105,0.6
