frame,people,box_width,box_height,aspect_ratio_h_over_w
adl-01-cam0-rgb-113.png,1,166,229,1.37
adl-01-cam0-rgb-114.png,1,167,223,1.34
adl-01-cam0-rgb-115.png,1,167,219,1.31
adl-01-cam0-rgb-116.png,1,166,213,1.28
adl-01-cam0-rgb-117.png,1,166,209,1.26
adl-01-cam0-rgb-118.png,1,168,203,1.21
adl-01-cam0-rgb-119.png,1,169,200,1.18
adl-01-cam0-rgb-120.png,1,168,195,1.16
adl-01-cam0-rgb-121.png,1,161,191,1.19
adl-01-cam0-rgb-122.png,1,158,188,1.19
adl-01-cam0-rgb-123.png,1,156,184,1.18
adl-01-cam0-rgb-124.png,1,153,181,1.19
adl-01-cam0-rgb-125.png,1,154,178,1.16
adl-01-cam0-rgb-126.png,1,154,176,1.15
adl-01-cam0-rgb-127.png,1,148,173,1.17
adl-01-cam0-rgb-128.png,1,134,170,1.27
adl-01-cam0-rgb-129.png,1,142,170,1.2
adl-01-cam0-rgb-130.png,1,147,169,1.15
adl-01-cam0-rgb-131.png,1,147,168,1.14
adl-01-cam0-rgb-132.png,0,,,
adl-01-cam0-rgb-133.png,1,149,168,1.13
adl-01-cam0-rgb-134.png,1,149,169,1.13
adl-01-cam0-rgb-135.png,1,150,170,1.13
adl-01-cam0-rgb-136.png,1,147,170,1.15
adl-01-cam0-rgb-137.png,1,150,170,1.13
adl-01-cam0-rgb-138.png,1,150,169,1.13
adl-01-cam0-rgb-139.png,1,151,169,1.12
adl-01-cam0-rgb-140.png,1,151,169,1.12
adl-01-cam0-rgb-141.png,1,145,169,1.17
adl-01-cam0-rgb-142.png,0,,,
adl-01-cam0-rgb-143.png,1,147,167,1.13
adl-01-cam0-rgb-144.png,1,148,167,1.13
adl-01-cam0-rgb-145.png,1,151,167,1.11
adl-01-cam0-rgb-146.png,1,150,167,1.12
adl-01-cam0-rgb-147.png,1,152,168,1.11
adl-01-cam0-rgb-148.png,1,148,167,1.13
adl-01-cam0-rgb-149.png,1,152,170,1.12
adl-01-cam0-rgb-150.png,1,140,169,1.2
